"","TABLE..","PWAT.PARM1","PWAT.PARM1.1","PWAT.PARM1.2","PWAT.PARM1.3","PWAT.PARM1.4","PWAT.PARM1.5","PWAT.PARM1.6","PWAT.PARM1.7","PWAT.PARM1.8","PWAT.PARM2","PWAT.PARM2.1","PWAT.PARM2.2","PWAT.PARM2.3","PWAT.PARM2.4","PWAT.PARM2.5","PWAT.PARM2.6","PWAT.PARM3","PWAT.PARM3.1","PWAT.PARM3.2","PWAT.PARM3.3","PWAT.PARM3.4","PWAT.PARM3.5","PWAT.PARM3.6","PWAT.PARM4","PWAT.PARM4.1","PWAT.PARM4.2","PWAT.PARM4.3","PWAT.PARM4.4","PWAT.PARM4.5","MON.INTERCEP","MON.INTERCEP.1","MON.INTERCEP.2","MON.INTERCEP.3","MON.INTERCEP.4","MON.INTERCEP.5","MON.INTERCEP.6","MON.INTERCEP.7","MON.INTERCEP.8","MON.INTERCEP.9","MON.INTERCEP.10","MON.INTERCEP.11","MON.UZSN","MON.UZSN.1","MON.UZSN.2","MON.UZSN.3","MON.UZSN.4","MON.UZSN.5","MON.UZSN.6","MON.UZSN.7","MON.UZSN.8","MON.UZSN.9","MON.UZSN.10","MON.UZSN.11","MON.MANNING","MON.MANNING.1","MON.MANNING.2","MON.MANNING.3","MON.MANNING.4","MON.MANNING.5","MON.MANNING.6","MON.MANNING.7","MON.MANNING.8","MON.MANNING.9","MON.MANNING.10","MON.MANNING.11","MON.LZETPARM","MON.LZETPARM.1","MON.LZETPARM.2","MON.LZETPARM.3","MON.LZETPARM.4","MON.LZETPARM.5","MON.LZETPARM.6","MON.LZETPARM.7","MON.LZETPARM.8","MON.LZETPARM.9","MON.LZETPARM.10","MON.LZETPARM.11","PWAT.STATE1","PWAT.STATE1.1","PWAT.STATE1.2","PWAT.STATE1.3","PWAT.STATE1.4","PWAT.STATE1.5","PWAT.STATE1.6"
"1","VARS->","CSNO","RTOP","UZFG","VCS","VUZ","VMN","VIFW","VIRC","VLE","FOREST","LZSN","INFILT","LSUR","SLSUR","KVARY","AGWR","PETMAX","PETMIN","INFEXP","INFILD","DEEPFR","BASETPR","AGWETP","CEPSC","UZSN","NSUR","INTFW","IRC","LZETP","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","CEPS","SURS","UZS","IFWS","LZS","AGWS","GWVS"
"2","N10001","1","1","0","1","0","0","0","0","1","0.09","9.835241","0.096513","050.0000","0.022878","0.297E-05","0.925358","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.180229","0.40","2.500000","0.391932",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.4106",NA,"3.0","1.0","0.0"
"3","N10003","1","1","0","1","0","0","0","0","1","0.04","9.835241","0.096513","058.8716","0.083894","0.297E-05","0.925358","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.180229","0.40","2.500000","0.391932",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3875",NA,"3.0","1.0","0.0"
"4","N10005","1","1","0","1","0","0","0","0","1","0.44","6.000000","0.216908","085.2514","0.016699","0.002026","0.969044","40.0","35.0","2.0","2.0","0.0","0.0","0.182463",NA,"0.720000","0.40","2.500000","0.588646",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.4131",NA,"3.0","1.0","0.0"
"5","N11001","1","1","0","1","0","0","0","0","1","0.04","14.00000","0.169195","063.6841","0.186320","0.550E-05","0.955506","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.680000","0.40","1.555667","0.541282",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3540",NA,"3.0","1.0","0.0"
"6","N24001","1","1","0","1","0","0","0","0","1","0.04","6.000000","0.082517","441.2507","0.259620","0.075019","0.975822","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.450708",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3334",NA,"3.0","1.0","0.0"
"7","N24003","1","1","0","1","0","0","0","0","1","0.09","8.918510","0.049040","265.9133","0.102790","0.004950","0.959186","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.070221","0.40","2.500000","0.666645",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3809",NA,"3.0","1.0","0.0"
"8","N24005","1","1","0","1","0","0","0","0","1","0.08","8.606748","0.253134","204.5044","0.132760","0.003942","0.955058","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.032810","0.40","2.329500","0.363335",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3708",NA,"3.0","1.0","0.0"
"9","N24009","1","1","0","1","0","0","0","0","1","0.09","14.00000","0.060996","409.6514","0.159529","0.100E-05","0.920000","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.680000","0.40","2.500000","0.378248",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3622",NA,"3.0","1.0","0.0"
"10","N24011","1","1","0","1","0","0","0","0","1","0.23","8.495876","0.077747","149.2727","0.026549","0.100E-05","0.943717","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.019505","0.40","2.500000","0.453528",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.4091",NA,"3.0","1.0","0.0"
