"","TABLE..","PWAT.PARM1","PWAT.PARM1.1","PWAT.PARM1.2","PWAT.PARM1.3","PWAT.PARM1.4","PWAT.PARM1.5","PWAT.PARM1.6","PWAT.PARM1.7","PWAT.PARM1.8","PWAT.PARM2","PWAT.PARM2.1","PWAT.PARM2.2","PWAT.PARM2.3","PWAT.PARM2.4","PWAT.PARM2.5","PWAT.PARM2.6","PWAT.PARM3","PWAT.PARM3.1","PWAT.PARM3.2","PWAT.PARM3.3","PWAT.PARM3.4","PWAT.PARM3.5","PWAT.PARM3.6","PWAT.PARM4","PWAT.PARM4.1","PWAT.PARM4.2","PWAT.PARM4.3","PWAT.PARM4.4","PWAT.PARM4.5","MON.INTERCEP","MON.INTERCEP.1","MON.INTERCEP.2","MON.INTERCEP.3","MON.INTERCEP.4","MON.INTERCEP.5","MON.INTERCEP.6","MON.INTERCEP.7","MON.INTERCEP.8","MON.INTERCEP.9","MON.INTERCEP.10","MON.INTERCEP.11","MON.UZSN","MON.UZSN.1","MON.UZSN.2","MON.UZSN.3","MON.UZSN.4","MON.UZSN.5","MON.UZSN.6","MON.UZSN.7","MON.UZSN.8","MON.UZSN.9","MON.UZSN.10","MON.UZSN.11","MON.MANNING","MON.MANNING.1","MON.MANNING.2","MON.MANNING.3","MON.MANNING.4","MON.MANNING.5","MON.MANNING.6","MON.MANNING.7","MON.MANNING.8","MON.MANNING.9","MON.MANNING.10","MON.MANNING.11","MON.LZETPARM","MON.LZETPARM.1","MON.LZETPARM.2","MON.LZETPARM.3","MON.LZETPARM.4","MON.LZETPARM.5","MON.LZETPARM.6","MON.LZETPARM.7","MON.LZETPARM.8","MON.LZETPARM.9","MON.LZETPARM.10","MON.LZETPARM.11","PWAT.STATE1","PWAT.STATE1.1","PWAT.STATE1.2","PWAT.STATE1.3","PWAT.STATE1.4","PWAT.STATE1.5","PWAT.STATE1.6"
"11","N24013","1","1","0","1","0","0","0","0","1","0.05","7.502108","0.075890","172.9082","0.150829","0.002215","0.958342","40.0","35.0","2.0","2.0","0.0","0.0","0.002174",NA,"0.900253","0.40","2.515037","0.341539",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3650",NA,"3.0","1.0","0.0"
"12","N24015","1","1","0","1","0","0","0","0","1","0.04","9.963775","0.112059","171.0405","0.093170","0.012855","0.968327","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.195653","0.40","2.500000","0.319328",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3842",NA,"3.0","1.0","0.0"
"13","N24017","1","1","0","1","0","0","0","0","1","0.15","6.000000","0.046242","485.0722","0.083332","0.100E-05","0.920000","40.0","35.0","2.0","2.0","0.0","0.0","0.295608",NA,"0.720000","0.40","2.500000","0.440105",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3877",NA,"3.0","1.0","0.0"
"14","N24019","1","1","0","1","0","0","0","0","1","0.71","6.000000","0.043986","050.0000","0.013266","0.439E-05","0.933858","40.0","35.0","2.0","2.0","0.0","0.0","0.055452",NA,"0.720000","0.40","2.500000","0.568098",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.4145",NA,"3.0","1.0","0.0"
"15","H24021","1","1","0","1","0","0","0","0","1","0.04","6.132590","0.105376","999.0000","0.156514","0.000022","0.937078","40.0","35.0","2.0","2.0","0.0","0.0","0.095107",NA,"0.735911","0.40","2.500000","0.439619",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3632",NA,"3.0","1.0","0.0"
"16","N24021","1","1","0","1","0","0","0","0","1","0.07","6.044571","0.094503","168.2491","0.174817","0.000083","0.946531","40.0","35.0","2.0","2.0","0.0","0.0","0.091054",NA,"0.725348","0.40","2.500000","0.413918",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3575",NA,"3.0","1.0","0.0"
"17","H24023","1","1","0","1","0","0","0","0","1","0.11","6.000000","0.186596","750.1458","0.154570","0.354E-05","0.940704","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.531000",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3638",NA,"3.0","1.0","0.0"
"18","N24023","1","1","0","1","0","0","0","0","1","0.08","6.000000","0.080568","372.8032","0.192772","0.100E-05","0.937377","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.476968",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3521",NA,"3.0","1.0","0.0"
"19","N24025","1","1","0","1","0","0","0","0","1","0.04","12.23066","0.148414","225.7693","0.110804","0.008601","0.960767","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.467679","0.40","2.500000","0.369365",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3781",NA,"3.0","1.0","0.0"
"20","N24027","1","1","0","1","0","0","0","0","1","0.04","12.55628","0.089079","229.6125","0.126571","0.001236","0.957375","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.506754","0.40","2.500000","0.390634",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3728",NA,"3.0","1.0","0.0"
"21","N24029","1","1","0","1","0","0","0","0","1","0.05","14.00000","0.096586","103.1723","0.059606","0.006189","0.920000","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.680000","0.40","2.500000","0.379126",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3964",NA,"3.0","1.0","0.0"
"22","N24031","1","1","0","1","0","0","0","0","1","0.05","14.00000","0.114555","137.2714","0.117530","0.000134","0.923918","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.680000","0.40","2.500000","0.506945",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3758",NA,"3.0","1.0","0.0"
"23","N24033","1","1","0","1","0","0","0","0","1","0.08","8.743100","0.061444","342.1586","0.099668","0.331E-05","0.937235","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.049172","0.40","2.500000","0.303852",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3819",NA,"3.0","1.0","0.0"
"24","N24035","1","1","0","1","0","0","0","0","1","0.07","14.00000","0.096586","133.8611","0.032201","0.006189","0.920000","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.680000","0.40","2.500000","0.379126",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.4069",NA,"3.0","1.0","0.0"
"25","N24037","1","1","0","1","0","0","0","0","1","0.27","12.28587","0.042437","305.2870","0.094780","0.100E-05","0.920000","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.474304","0.40","2.500000","0.412487",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3836",NA,"3.0","1.0","0.0"
"26","N24039","1","1","0","1","0","0","0","0","1","0.77","6.000000","0.043923","068.2571","0.009058","0.475E-05","0.934082","40.0","35.0","2.0","2.0","0.0","0.0","0.054023",NA,"0.720000","0.40","2.500000","0.567766",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.4162",NA,"3.0","1.0","0.0"
"27","N24041","1","1","0","1","0","0","0","0","1","0.29","8.495876","0.077747","115.2040","0.029439","0.100E-05","0.943717","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.019505","0.40","2.500000","0.453528",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.4080",NA,"3.0","1.0","0.0"
"28","N24043","1","1","0","1","0","0","0","0","1","0.06","7.652180","0.304873","156.2308","0.199578","0.026021","0.974756","40.0","35.0","2.0","2.0","0.0","0.0","0.009154",NA,"0.918262","0.40","1.677000","0.597744",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3501",NA,"3.0","1.0","0.0"
"29","N24045","1","1","0","1","0","0","0","0","1","0.64","6.000000","0.043986","207.9217","0.015796","0.439E-05","0.933858","40.0","35.0","2.0","2.0","0.0","0.0","0.055452",NA,"0.720000","0.40","2.500000","0.568098",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.4135",NA,"3.0","1.0","0.0"
"30","N24047","1","1","0","1","0","0","0","0","1","0.62","6.000000","0.043923","055.7068","0.023671","0.475E-05","0.934082","40.0","35.0","2.0","2.0","0.0","0.0","0.054023",NA,"0.720000","0.40","2.500000","0.567766",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.4103",NA,"3.0","1.0","0.0"
"31","N24510","1","1","0","1","0","0","0","0","1","0.11","8.334346","0.615999","050.0000","0.145736","0.009868","0.967181","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.000121","0.40","0.788000","0.370579",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3666",NA,"3.0","1.0","0.0"
"32","N36003","1","1","0","1","0","0","0","0","1","0.20","8.849946","0.027847","518.8915","0.154867","0.014891","0.928528","40.0","35.0","2.0","2.0","0.0","0.0","0.039855",NA,"1.061993","0.40","5.000000","0.447220",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3637",NA,"3.0","1.0","0.0"
"33","N36007","1","1","0","1","0","0","0","0","1","0.28","6.000000","0.100607","355.6017","0.158849","0.307E-05","0.966286","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.870519","0.467577",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3624",NA,"3.0","1.0","0.0"
"34","N36011","1","1","0","1","0","0","0","0","1","0.13","5.0","0.11","050.0000","0.095271","0.04","0.98","40.0","35.0","2.0","2.0","0.0","0.0","0.01",NA,"0.6391","0.40","1.25","0.45",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3835",NA,"3.0","1.0","0.0"
"35","N36015","1","1","0","1","0","0","0","0","1","0.18","6.000000","0.027719","467.1064","0.190417","0.000013","0.980763","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.455728",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3528",NA,"3.0","1.0","0.0"
"36","N36017","1","1","0","1","0","0","0","0","1","0.28","6.000000","0.148351","489.3233","0.124417","0.100E-05","0.946170","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","3.078122","0.397458",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3735",NA,"3.0","1.0","0.0"
