"","Date","AGWET","AGWI","AGWLI","AGWO","AGWS","BASET","CEPE","CEPS","day","GWVS","IFWI","IFWLI","IFWO","IFWS","IGWI","INFFAC","INFIL","LZET","LZI","LZLI","LZS","month","PERC","PERO","PERS","PET","PETADJ","SUPY","SURI","SURLI","SURO","SURS","TAET","TGWS","UZET","UZI","UZLI","UZS","year"
"1",1984-01-01,0,0,0,0.0516028236597776,0.972849394964135,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0.0516028236597776,4.31104937843655,0,0,0,0,0,0,0,0,0.972849394964135,0,0,0,0.338200002908707,1984
"2",1984-01-02,0,0,0,0.0510095416102558,0.921595118939877,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0.0510095416102558,4.25979508956274,0,0,0,0,0,0,0,0,0.921595118939877,0,0,0,0.338200002908707,1984
"3",1984-01-03,0.000233364662562963,0,0,0.0482604948338121,0.871937756737073,0,0,0,3,-9.04472656960327e-05,0,0,0,0,0,1,0,0.00132729517645203,0,0,2.99948622783025,1,0,0.0482604948338121,4.20946576197942,0.00239298795349896,0.0625,0,0,0,0,0,0.00196888306527398,0.871937756737073,0.000408223240810911,0,0,0.338041776170333,1984
"4",1984-01-04,0.000784952629558689,0,0,0.0456361478427425,0.824556892116864,0,0,0.000134948701694763,4,-0.00036167166854284,0,0,0,0,0,1,0,0.00438025024487843,0,0,2.99670657515526,1,0,0.0456361478427425,4.15857625007629,0.00804490439531947,0.229166666666667,0.000647753768134862,0,0,0,0,0.00653409099550117,0.824556892116864,0.00136888823021764,0,0,0.337177865207195,1984
"5",1984-01-05,0.00101649840053142,0,0,0.0431345836259425,0.779367752373219,0,0.00310082713258453,0.0007762631054599,5,-0.000465497955398555,0,0,0,0,0,1,0,0.00522798365886956,0,0,2.99207106232643,1,0,0.0431345836259425,4.10788697004318,0.0135095740056386,0.270833333333333,0.00245307339355349,0,0,0,0,0.0111087447724003,0.779367752373219,0.00176343584240612,0,0,0.335671922812859,1984
"6",1984-01-06,0.00216488887258493,0,0,0.0407242267392576,0.735881177087625,0,0,0,6,-0.00106791311228941,0,0,0,0,0,1,0,0.0105693804680414,0,0,2.9840439260006,1,0,0.0407242267392576,4.0528214375178,0.0221319549164036,0.625,0,0,0,0,0,0.0164538607004943,0.735881177087625,0.00371959112953846,0,0,0.332896305869023,1984
"7",1984-01-07,0,0,0,0.0384785739006475,0.695215073724588,0,0,2.27614800678566e-05,7,-9.02037039243925e-05,0,0,0,0,0,1,0,0,0,0,2.9784951210022,1,0,0.0384785739006475,4.00467276573181,0,0,2.27614800678566e-05,0,0,0,0,0,0.695215073724588,0,0,0,0.33093985915184,1984
"8",1984-01-08,0.000543877706832063,0,0,0.0363961586263031,0.657590128481388,0,2.27614800678566e-05,1.13807400339283e-05,8,-0.000235861534747528,0,0,0,0,0,1,0,0.00303155722758675,0,0,2.97718309362729,1,0,0.0363961586263031,3.96532274285952,0.00557452388056844,0.125,0,0,0,0,0,0.0045242831329233,0.657590128481388,0.000926086696381389,0,0,0.330538199593623,1984
"9",1984-01-09,6.60286532365717e-05,0,0,0.0344216896919534,0.62190525730451,0,0,0,9,-4.46711225473943e-05,0,0,0,0,0,1,0,0.000380734330974519,0,0,2.97533671061198,1,0,0.0344216896919534,3.927218268315,0.000673773000016809,0.0208333333333333,0,0,0,0,0,0.000558962754439563,0.62190525730451,0.000112199770228472,0,0,0.329976379871368,1984
"10",1984-01-10,2.92216682282742e-05,0.00321071654980187,0,0.0326289157383144,0.589467041194439,0,0.0128101943573711,0.0398620178457349,10,0.00106092691476079,2.68973977703979e-05,0,0,0,0,0.99998497714599,0.0747122404864058,0.000172371073858812,0.0715015244204551,0,2.99908951918284,1,0,0.0326410562265664,3.95870849490166,0.0131083593460062,0.264727060993513,0.168753363890574,0.0759712187573313,0,1.2140687259965e-05,0,0.0130614220270218,0.589467041194439,4.96349239256233e-05,0.00121994016694771,0,0.330289957424005,1984
