"","gage","landseg","pct_overlaps","gage_name"
"1","usgs_ws_01632000","H51165",0.161225471438647,"Cootes Store"
"2","usgs_ws_01632000","N51165",0.757600629432802,"Cootes Store"
"3","usgs_ws_01632000","N51171",0.0108741606208179,"Cootes Store"
"4","usgs_ws_01632000","N54031",0.0700509524142556,"Cootes Store"
"5","usgs_ws_01632000","N54071",0.000248786093477117,"Cootes Store"
"6","usgs_ws_01633000","H51165",0.0811464693826444,"Mount Jackson"
"7","usgs_ws_01633000","N51139",5.51886404596319e-05,"Mount Jackson"
"8","usgs_ws_01633000","N51165",0.685971311804753,"Mount Jackson"
"9","usgs_ws_01633000","N51171",0.199804374443845,"Mount Jackson"
"10","usgs_ws_01633000","N51660",0.00214650214416328,"Mount Jackson"
"11","usgs_ws_01633000","N54031",0.0307668849325736,"Mount Jackson"
"12","usgs_ws_01633000","N54071",0.000109268651560507,"Mount Jackson"
"13","usgs_ws_01634000","H51165",0.0547217934760077,"Strasburg"
"14","usgs_ws_01634000","N51139",3.72169166253281e-05,"Strasburg"
"15","usgs_ws_01634000","N51165",0.462590433578054,"Strasburg"
"16","usgs_ws_01634000","N51171",0.46016943994021,"Strasburg"
"17","usgs_ws_01634000","N51187",0.000115085995881725,"Strasburg"
"18","usgs_ws_01634000","N51660",0.00144751149276536,"Strasburg"
"19","usgs_ws_01634000","N54031",0.0208448323805916,"Strasburg"
"20","usgs_ws_01634000","N54071",7.36862198637416e-05,"Strasburg"
