"","site","source","intercept","slope"
"1","Cootes Store","Gage",0.9444805,-0.0003047
"2","Cootes Store","Model",0.947496,0.0007407
"3","Mount Jackson","Gage",1.004269,-0.00882
"4","Mount Jackson","Model",0.94309,0.002623
"5","Strasburg","Gage",1.065113,-0.017501
"6","Strasburg","Model",0.941564,0.003708
