"GroupID","start_date","end_date","n_days","median_flow","event_AGWRC","logQ","IQR_flagged_outlier","cooks_distance","cooks_flagged"
1,1927-06-12,1927-06-27,11,161,0.976780387374743,5.08140436498446,FALSE,0.000711322450248738,FALSE
3,1929-10-08,1929-10-21,10,107,0.913016462459616,4.67282883446191,FALSE,0.131111682026018,TRUE
4,1930-05-18,1930-06-05,11,105,0.963443429101515,4.65396035015752,FALSE,0.00809276571294226,FALSE
6,1934-04-28,1934-05-11,9,197,0.957311433034115,5.28320372873799,FALSE,0.00174245826498051,FALSE
7,1934-08-30,1934-09-12,8,78,0.98259159655595,4.35670882668959,FALSE,0.000571023307840198,FALSE
9,1934-11-15,1934-11-22,8,113,0.972035251674317,4.72738781871234,FALSE,0.000991996541359245,FALSE
11,1935-09-18,1935-10-11,14,93,0.975915390838012,4.53259949315326,FALSE,0.00151062661136487,FALSE
12,1936-04-27,1936-05-02,6,296.5,0.956277352801317,5.69204721843778,FALSE,9.76891282407358e-05,FALSE
13,1936-05-25,1936-06-07,10,141,0.981269339948916,4.94875989037817,FALSE,0.00123932887949605,FALSE
16,1938-04-30,1938-05-08,7,221,0.938511140995971,5.39816270151775,FALSE,0.0160106574840289,FALSE
17,1939-05-03,1939-05-20,13,317,0.985944317597159,5.75890177387728,FALSE,0.0410646160277717,TRUE
18,1940-05-08,1940-05-23,15,226,0.956707147991868,5.42053499927229,FALSE,0.00118435913557236,FALSE
20,1941-04-28,1941-05-23,21,190,0.972321389388397,5.24702407216049,FALSE,0.000541844963945205,FALSE
22,1942-04-22,1942-05-04,12,152.5,0.968241792232559,5.02716459604747,FALSE,0.000238727208516833,FALSE
23,1942-11-05,1942-11-19,10,285,0.97109263484143,5.65248918026865,FALSE,0.0059918344264889,FALSE
24,1942-12-10,1942-12-21,8,315,0.953755406751528,5.75257263882563,FALSE,0.00036031880414492,FALSE
25,1943-02-19,1943-03-04,13,363,0.953840316758733,5.89440283426485,FALSE,4.74842195694806e-06,FALSE
26,1943-05-02,1943-05-08,6,316,0.947519404761674,5.75574221358691,FALSE,0.00375017648454759,FALSE
27,1943-11-16,1943-11-29,8,100,0.98238128785193,4.60517018598809,FALSE,0.000102425621059324,FALSE
28,1945-10-11,1945-10-22,8,99,0.982575107846772,4.59511985013459,FALSE,0.000102273053267424,FALSE
29,1947-05-13,1947-05-20,6,218,0.970839796273192,5.38449506278909,FALSE,0.00104284189145741,FALSE
30,1950-04-11,1950-04-28,14,246.5,0.975114994061122,5.50736199348274,FALSE,0.00534164261702111,FALSE
34,1954-02-01,1954-02-14,9,178,0.936015705622626,5.18178355029209,FALSE,0.0204375854891035,FALSE
35,1954-04-30,1954-05-13,8,337,0.961531638627531,5.82008293035236,FALSE,0.00216292216465406,FALSE
36,1954-09-02,1954-09-15,9,73,0.982833710438179,4.29045944114839,FALSE,0.00117426887971703,FALSE
39,1956-05-09,1956-05-21,8,203.5,0.965497380401454,5.31566600488265,FALSE,1.05043090652125e-06,FALSE
40,1957-05-08,1957-05-18,7,210,0.962193921430564,5.34710753071747,FALSE,0.000187406206268926,FALSE
41,1958-09-27,1958-10-14,10,91.5,0.989295256056573,4.51633897228148,FALSE,0.00183684104894114,FALSE
43,1960-04-15,1960-04-25,8,378,0.946418477707157,5.93489419561959,FALSE,0.00255253918178809,FALSE
44,1960-12-09,1960-12-24,8,90,0.993568450079975,4.49980967033027,FALSE,0.00471852588302468,FALSE
45,1961-05-22,1961-06-01,7,328,0.935665408432221,5.79301360838414,FALSE,0.0200857775320506,FALSE
46,1961-10-29,1961-11-12,8,170.5,0.992361254350827,5.13873529672357,FALSE,0.00997367414591665,FALSE
47,1963-04-08,1963-04-22,12,213.5,0.961332396925888,5.36363683266868,FALSE,0.000267023334036697,FALSE
48,1964-03-24,1964-04-06,8,331,0.947082179838641,5.80211837537706,FALSE,0.00360720833353601,FALSE
49,1964-05-13,1964-05-31,9,166,0.959261113839136,5.11198778835654,FALSE,0.00217317083013503,FALSE
51,1966-03-20,1966-04-11,17,163,0.977799415282432,5.09375020080676,FALSE,0.00103772544094484,FALSE
52,1966-08-26,1966-09-09,13,62,0.976920503042153,4.12713438504509,FALSE,0.0150608176661097,FALSE
53,1967-04-02,1967-04-11,7,331,0.958777904265687,5.80211837537706,FALSE,0.000548014195397224,FALSE
55,1967-06-09,1967-06-16,5,200,0.950498975855556,5.29831736654804,FALSE,0.00521452684771816,FALSE
57,1967-11-08,1967-11-21,12,122.5,0.981717431656414,4.80811102998478,FALSE,0.000681570849110154,FALSE
58,1968-02-10,1968-02-22,9,240,0.929338029601244,5.48063892334199,FALSE,0.0306332363945513,TRUE
60,1969-04-01,1969-04-14,10,253,0.957889308154032,5.53338948872752,FALSE,0.000328600427797903,FALSE
61,1969-04-23,1969-05-08,15,250,0.952889565357738,5.52146091786225,FALSE,0.00219745533974817,FALSE
62,1969-10-12,1969-10-31,13,99,0.988150864971546,4.59511985013459,FALSE,0.00183500409134114,FALSE
63,1969-11-05,1969-11-18,11,110,0.982910004765915,4.70048036579242,FALSE,0.000519828669161113,FALSE
64,1970-11-24,1970-12-11,9,231,0.968470975428122,5.44241771052179,FALSE,0.000777727335074448,FALSE
