"GroupID","start_date","end_date","n_days","median_flow","event_AGWRC","logQ","IQR_flagged_outlier","cooks_distance","cooks_flagged"
1,1922-05-23,1922-06-06,8,347.5,0.957414793696675,5.85076466500485,FALSE,1.13610371438158e-06,FALSE
3,1926-03-25,1926-04-07,6,741,0.924693197944856,6.60800062529609,FALSE,0.0407658623535187,FALSE
4,1933-04-22,1933-05-05,11,373,0.948845574023772,5.92157841964382,FALSE,0.00188950050534523,FALSE
6,1936-04-18,1936-04-28,7,606,0.932877292965329,6.40687998606931,FALSE,0.0176578001691169,FALSE
7,1937-03-27,1937-04-13,13,324,0.968718301277376,5.78074351579233,FALSE,0.00268717928451649,FALSE
11,1942-04-06,1942-04-28,17,175,0.964738735892156,5.16478597392351,FALSE,0.000245792460812745,FALSE
12,1943-03-25,1943-04-10,8,618.5,0.909865236715484,6.42729719183254,FALSE,0.10318031897707,TRUE
17,1947-01-30,1947-02-14,8,475,0.952072327223738,6.16331480403464,FALSE,3.49168211791201e-05,FALSE
18,1948-04-25,1948-05-04,7,353,0.984372056549569,5.8664680569333,FALSE,0.021498081531041,FALSE
19,1949-11-12,1949-11-21,7,218,0.959800562870021,5.38449506278909,FALSE,0.000496186300785568,FALSE
21,1952-04-08,1952-04-23,10,350,0.981232418980228,5.85793315448346,FALSE,0.0164257780366526,FALSE
22,1954-02-01,1954-02-14,8,266,0.956738884563509,5.5834963087817,FALSE,0.000528972808508578,FALSE
23,1955-05-28,1955-06-11,8,178,0.983427793228929,5.18178355029209,FALSE,0.00626509793496637,FALSE
24,1957-04-27,1957-05-17,10,303,0.94119279196293,5.71373280550937,FALSE,0.0084298959731281,FALSE
28,1960-04-14,1960-05-06,11,386,0.972098757709363,5.95583736946483,FALSE,0.00859262612284293,FALSE
30,1962-04-26,1962-05-07,9,376,0.954160658722128,5.92958914338989,FALSE,0.00016650627451815,FALSE
31,1963-04-02,1963-04-16,11,435,0.952380037292162,6.07534603108868,FALSE,0.000140710161062606,FALSE
32,1964-04-28,1964-05-06,6,336,0.927188109664539,5.8171111599632,FALSE,0.0265108591909827,FALSE
34,1966-04-01,1966-04-11,9,222,0.973422178590221,5.40267738187228,FALSE,0.0018077445414958,FALSE
36,1967-11-11,1967-11-17,6,123,0.95725612956026,4.81218435537242,FALSE,0.0102647883601791,FALSE
37,1968-02-05,1968-02-19,7,310,0.921075926530338,5.73657229747919,FALSE,0.0369966611957615,FALSE
39,1970-02-28,1970-03-11,6,385.5,0.962718606866673,5.95454119300338,FALSE,0.00147348700390378,FALSE
44,1974-10-26,1974-11-01,7,101,0.971837172460114,4.61512051684126,FALSE,0.00097560565300123,FALSE
45,1975-08-17,1975-08-30,10,158,0.939078549557736,5.06259503302697,FALSE,0.0262931247407179,FALSE
46,1975-11-27,1975-12-05,6,208.5,0.978460419650164,5.33993904123886,FALSE,0.00388122157688799,FALSE
47,1976-04-20,1976-04-30,7,255,0.972713390655792,5.54126354515843,FALSE,0.00241264575721534,FALSE
48,1977-05-18,1977-05-23,6,214.5,0.955588320891311,5.36830973836807,FALSE,0.00186535953249361,FALSE
49,1978-09-28,1978-10-10,9,111,0.99025396664817,4.70953020131233,FALSE,0.0116288825360766,FALSE
50,1979-04-15,1979-04-22,7,725,0.908374866443393,6.58617165485467,FALSE,0.12383968445012,TRUE
51,1980-06-05,1980-06-23,15,235,0.958807501650123,5.45958551414416,FALSE,0.000465438839300058,FALSE
53,1981-09-30,1981-10-15,11,116,0.984156285800128,4.75359019110636,FALSE,0.00461846345003623,FALSE
54,1982-04-10,1982-04-25,9,331,0.96914945727301,5.80211837537706,FALSE,0.00318123962399499,FALSE
56,1983-07-14,1983-07-22,6,129,0.977092838553136,4.85981240436167,FALSE,0.00083858527510207,FALSE
57,1983-09-06,1983-09-20,9,88,0.982477075920072,4.47733681447821,FALSE,0.0012906006337906,FALSE
58,1984-09-10,1984-09-26,12,76.5,0.981991143057008,4.33729074083249,FALSE,0.000266701753590291,FALSE
59,1986-03-28,1986-04-14,13,314,0.966078450764196,5.74939298590825,FALSE,0.00123968717520312,FALSE
