"","gageid","regression_Rsq"
"1","01646305",1
"2","01645762",1
"3","01671200",1
"4","01655794",1
"5","01673500",1
"6","01677000",1
"7","03166800",1
"8","02031500",1
"9","02032000",1
"10","01654000",1
"11","02038000",1
"12","02032400",1
"13","03177700",1
"14","01625900",1
"15","01661977",1
"16","03523000",1
"17","03472500",1
"18","03208850",1
"19","03489900",1
"20","02053000",1
"21","02048500",1
"22","02032500",1
"23","02062000",1
"24","01628150",1
"25","02042000",1
"26","03175100",1
"27","01656100",1
"28","02024300",1
"29","01656500",1
"30","01660380",1
"31","02063500",1
"32","03489850",1
