"GroupID","start_date","end_date","n_days","median_flow","event_AGWRC"
1,1925-04-03,1925-04-24,22,785,0.972834303355982
3,1928-05-08,1928-05-21,6,1380,0.946808894342193
4,1939-03-23,1939-04-10,9,1060,0.971098883544296
5,1939-04-27,1939-05-12,11,876,0.962413952244132
6,1941-01-23,1941-02-19,15,1060,0.972550225344414
7,1942-11-01,1942-11-23,18,1180,0.972900059713809
8,1942-12-07,1942-12-20,10,980,0.974918432314198
9,1943-04-02,1943-04-18,11,1150,0.974890799489355
10,1943-05-01,1943-05-08,6,1160,0.956415605583938
11,1943-06-22,1943-07-07,6,853,0.969340784881711
12,1944-10-19,1944-11-01,6,999,0.996297595335304
13,1945-03-18,1945-04-01,9,925,0.986556836702481
14,1946-04-07,1946-04-24,13,1060,0.979492610336391
17,1949-11-09,1949-11-27,12,880,0.969031415472306
18,1950-02-19,1950-03-04,7,1410,0.956218058471142
19,1950-11-14,1950-11-23,8,505,0.976686480999357
20,1950-12-22,1950-12-26,4,1200,0.980761475230364
23,1980-06-04,1980-06-21,16,750,0.967410253473545
24,1980-08-23,1980-09-11,7,450,0.993996876759019
25,1981-04-17,1981-05-08,10,473.5,0.999255844667363
26,1982-03-31,1982-04-25,17,1100,0.976425143438846
27,1982-05-09,1982-05-15,7,852,0.953292638272596
28,1982-08-22,1982-09-19,19,498,0.980731058514313
29,1982-12-26,1983-01-10,11,788,0.968376447490465
30,1983-05-04,1983-05-11,7,1580,0.945635728748565
31,1984-05-17,1984-05-23,7,1460,0.954434589809949
33,1985-04-04,1985-04-22,13,1010,0.96755261306409
35,1985-12-27,1986-01-16,16,873,0.980096891519541
36,1986-02-23,1986-03-12,10,1245,0.963977865456718
37,1986-03-28,1986-04-04,8,1011,0.963560447653766
38,1986-04-30,1986-05-12,8,685,0.967300768981362
39,1986-07-08,1986-07-21,9,325,0.987575977508909
42,1987-06-07,1987-06-20,8,787,0.959163280974138
43,1987-10-12,1987-10-25,12,494,0.987576029139432
44,1988-02-29,1988-03-25,19,699,0.989237238695412
47,1990-03-02,1990-03-10,9,1180,0.951292267459355
48,1990-04-20,1990-04-28,6,1115,0.962584707744447
50,1990-09-23,1990-10-09,9,338,0.98083016157844
51,1990-11-15,1990-11-29,13,834,0.966490185687722
52,1991-02-12,1991-03-01,8,1065,0.991548698286885
53,1991-04-26,1991-05-06,9,1090,0.97075808544981
55,1991-10-10,1991-11-04,15,332,0.997655415429528
56,1991-12-21,1991-12-28,5,426,0.98904012543415
57,1992-01-21,1992-02-12,19,645,0.982361181936606
58,1992-04-01,1992-04-13,12,986.5,0.960495092806356
60,1992-07-30,1992-08-25,18,462.5,0.991460934938559
64,1993-07-03,1993-07-18,13,510,0.974379096424536
66,1994-05-21,1994-06-04,12,874.5,0.966436583764079
67,1994-09-02,1994-09-09,8,540,0.978506817431041
68,1994-12-18,1994-12-29,10,438.5,0.983377821406125
69,1995-03-23,1995-04-07,12,769.5,0.969743150611944
70,1995-08-20,1995-09-02,11,386,0.984276473537965
71,1996-10-28,1996-11-04,8,971.5,0.964813283267632
72,1997-04-27,1997-05-25,18,988,0.978345593918477
77,1998-08-23,1998-09-06,14,429,0.986504902673532
78,1998-12-19,1999-01-01,7,321,0.99530114503984
