"","n_data_points","r_squared"
"1",2,"1.00000000000"
"2",3,"0.07047159866"
"3",4,"0.00004442533"
"4",5,"0.14604082890"
"5",6,"0.19393050305"
"6",7,"0.04369035526"
"7",8,"0.09959399917"
"8",9,"0.17085132172"
"9",10,"0.02716426878"
"10",11,"0.00084575900"
"11",12,"0.04536926835"
"12",13,"0.03146845656"
"13",14,"0.10199116334"
"14",15,"0.12383927512"
"15",16,"0.19748223328"
"16",17,"0.26909176253"
"17",18,"0.28185304837"
"18",19,"0.26342595913"
"19",20,"0.13474264717"
"20",21,"0.17361591203"
"21",22,"0.30056910902"
"22",23,"0.24308657734"
"23",24,"0.21928916120"
"24",25,"0.21878357262"
"25",26,"0.23626877889"
"26",27,"0.18542243860"
"27",28,"0.12857077680"
"28",29,"0.14054232190"
"29",30,"0.10816388298"
"30",31,"0.13139344228"
"31",32,"0.07033769789"
"32",33,"0.11304154981"
"33",34,"0.10086632204"
"34",35,"0.11189299290"
"35",36,"0.14148027232"
"36",37,"0.16167267379"
"37",38,"0.18664138473"
"38",39,"0.23172888966"
"39",40,"0.19520861041"
"40",41,"0.21421795995"
"41",42,"0.22127672066"
"42",43,"0.19067988981"
"43",44,"0.17059028391"
"44",45,"0.14941774426"
"45",46,"0.11458831999"
"46",47,"0.14502712701"
"47",48,"0.12645874370"
"48",49,"0.15343016972"
"49",50,"0.18632763377"
"50",51,"0.15951737140"
"51",52,"0.17178205349"
"52",53,"0.20638204442"
"53",54,"0.22933358626"
"54",55,"0.22019449494"
"55",56,"0.21557238047"
"56",57,"0.25219982902"
"57",58,"0.26949429078"
"58",59,"0.29424747232"
"59",60,"0.26111524982"
"60",61,"0.29081194982"
"61",62,"0.31478725108"
"62",63,"0.30877122103"
"63",64,"0.28175105345"
"64",65,"0.26789844269"
"65",66,"0.29447463794"
"66",67,"0.30434159172"
"67",68,"0.30435865492"
"68",69,"0.31041573397"
"69",70,"0.31136364058"
"70",71,"0.32880498542"
"71",72,"0.33542593092"
"72",73,"0.30843687570"
"73",74,"0.31753730773"
"74",75,"0.33799753328"
"75",76,"0.35658386177"
"76",77,"0.35253144927"
"77",78,"0.35438814390"
"78",79,"0.33176272844"
"79",80,"0.33199193871"
"80",81,"0.31399927389"
"81",82,"0.28955331820"
"82",83,"0.27933341702"
"83",84,"0.28547186098"
"84",85,"0.29470020243"
"85",86,"0.29785489584"
"86",87,"0.27655402856"
"87",88,"0.28389725732"
"88",89,"0.27924721444"
"89",90,"0.29015687766"
"90",91,"0.28096899686"
"91",92,"0.29551036368"
"92",93,"0.25812599941"
"93",94,"0.26211267122"
"94",95,"0.26942181430"
"95",96,"0.26918871200"
"96",97,"0.26747152822"
"97",98,"0.25779250345"
"98",99,"0.25717450055"
"99",100,"0.23236232855"
"100",101,"0.22190796468"
"101",102,"0.22309594113"
"102",103,"0.21878733271"
"103",104,"0.21487107706"
"104",105,"0.22245024991"
"105",106,"0.21945800845"
"106",107,"0.23087638565"
"107",108,"0.22555654872"
"108",109,"0.23667837947"
"109",110,"0.23521943793"
"110",111,"0.24792032317"
"111",112,"0.23814819308"
"112",113,"0.22572749046"
"113",114,"0.23781091569"
"114",115,"0.24311051942"
"115",116,"0.23304428134"
"116",117,"0.24046007621"
"117",118,"0.21624637440"
"118",119,"0.23128883265"
"119",120,"0.24145222008"
"120",121,"0.25269539589"
"121",122,"0.22888906672"
"122",123,"0.22214726973"
"123",124,"0.23814961208"
"124",125,"0.24561543658"
"125",126,"0.25551135526"
"126",127,"0.28116921081"
