"Day","MAE","RMSE","MAPE","Bias","r2"
1,15.6501472365302,59.532398627837,4.07091024083667,-10.177331931413,0.912060932548844
2,13.283430044695,37.7200677195987,4.78123630366154,-6.18972729089397,0.959101891370796
3,10.7766916758296,21.4941961570569,4.72834877416264,-3.73524805081287,0.987334816214033
4,13.3258084792324,23.3122797349504,5.7804465096375,-3.98041366499708,0.982163593006195
5,75.2653613317899,374.958760643443,7.65781506719432,-65.2633379879578,0.613695211337114
6,39.6518696609459,178.727100867622,7.2618448267293,-28.653115695972,0.724057638061174
7,20.1902219349138,70.0121494510953,6.80449023479931,-9.56233323124816,0.875117765620901
8,15.8231833179329,37.0284649029257,7.72547130437684,-4.53457928948165,0.935467529500031
9,15.2072380287832,24.9563116183952,9.13927894808746,-4.03820487023251,0.955070294464966
10,14.5590158015452,21.2430821327973,9.59204601939367,-4.33820790871297,0.962893696075372
11,13.4334616097233,17.3894337729931,9.55859882575423,-4.74624250677288,0.970778756556902
12,13.1122642624276,16.4566125004614,10.0203635656447,-4.44562778010109,0.967941075366072
13,11.4081188573622,14.3807915653306,9.33230510315435,-5.6351063379275,0.976228080269165
14,14.0357784275802,17.3396069305413,10.7835376736808,-8.62260241080749,0.970227877537308
15,14.1483766532016,17.1522183765871,11.4869544601021,-9.26272964139946,0.970403102199809
