"GroupID","Day","Date","Forecast","Observed","AGWRC","Residuals"
4,1,1993-06-25,125.448061562982,123,0.980062980960795,2.44806156298176
4,2,1993-06-26,122.947001171169,120,0.980062980960795,2.94700117116923
4,3,1993-06-27,120.495804468006,118,0.980062980960795,2.49580446800648
4,4,1993-06-28,118.093477320184,115,0.980062980960795,3.09347732018352
4,5,1993-06-29,115.739045414445,114,0.980062980960795,1.7390454144451
4,6,1993-06-30,113.431553862438,111,0.980062980960795,2.43155386243789
4,7,1993-07-01,111.170066813436,110,0.980062980960795,1.17006681343587
4,8,1993-07-02,108.953667074787,120,0.980062980960795,-11.0463329252133
4,9,1993-07-03,106.781455739925,153,0.980062980960795,-46.2185442600745
4,10,1993-07-04,104.652551823805,134,0.980062980960795,-29.3474481761954
4,11,1993-07-05,102.566091905592,120,0.980062980960795,-17.433908094408
4,12,1993-07-06,100.521229778493,130,0.980062980960795,-29.4787702215067
4,13,1993-07-07,98.5171361065552,110,0.980062980960795,-11.4828638934448
4,14,1993-07-08,96.5529980883109,104,0.980062980960795,-7.4470019116891
4,15,1993-07-09,94.6280191271319,101,0.980062980960795,-6.37198087286808
5,1,1994-05-14,266.355467884424,257,0.968565337761542,9.35546788442394
5,2,1994-05-15,257.98267371611,246,0.968565337761542,11.9826737161105
5,3,1994-05-16,249.87307550447,241,0.968565337761542,8.87307550447008
5,4,1994-05-17,242.018399773502,226,0.968565337761542,16.0183997735022
5,5,1994-05-18,234.41063312113,214,0.968565337761542,20.41063312113
5,6,1994-05-19,227.042014043864,204,0.968565337761542,23.0420140438641
5,7,1994-05-20,219.905025018456,202,0.968565337761542,17.9050250184558
5,8,1994-05-21,212.992384832461,197,0.968565337761542,15.9923848324609
5,9,1994-05-22,206.297041155889,190,0.968565337761542,16.2970411558888
5,10,1994-05-23,199.81216334636,185,0.968565337761542,14.81216334636
5,11,1994-05-24,193.531135480431,178,0.968565337761542,15.5311354804315
5,12,1994-05-25,187.447549603979,171,0.968565337761542,16.4475496039788
5,13,1994-05-26,181.555199194751,177,0.968565337761542,4.55519919475105
5,14,1994-05-27,175.848072830428,193,0.968565337761542,-17.151927169572
5,15,1994-05-28,170.32034805572,179,0.968565337761542,-8.67965194428038
6,1,1994-08-28,171.64842236442,171,0.975275127070567,0.648422364419702
6,2,1994-08-29,167.404436932922,168,0.975275127070567,-0.595563067078302
6,3,1994-08-30,163.265383501932,158,0.975275127070567,5.26538350193184
6,4,1994-08-31,159.228667641071,152,0.975275127070567,7.22866764107135
6,5,1994-09-01,155.291759066923,145,0.975275127070567,10.2917590669229
6,6,1994-09-02,151.452190057005,141,0.975275127070567,10.452190057005
6,7,1994-09-03,147.707553902961,136,0.975275127070567,11.7075539029611
6,8,1994-09-04,144.055503401993,133,0.975275127070567,11.055503401993
6,9,1994-09-05,140.493749385593,128,0.975275127070567,12.4937493855931
6,10,1994-09-06,137.020059284655,126,0.975275127070567,11.0200592846547
6,11,1994-09-07,133.632255730058,122,0.975275127070567,11.6322557300581
6,12,1994-09-08,130.328215187859,118,0.975275127070567,12.3282151878589
6,13,1994-09-09,127.105866628219,115,0.975275127070567,12.1058666282192
6,14,1994-09-10,123.963190227251,111,0.975275127070567,12.963190227251
6,15,1994-09-11,120.898216100955,111,0.975275127070567,9.89821610095501
10,1,1996-02-20,438.19865712762,436,0.960961967385133,2.19865712762044
10,2,1996-02-21,421.092243658881,424,0.960961967385133,-2.90775634111878
10,3,1996-02-22,404.653630917058,418,0.960961967385133,-13.3463690829419
10,4,1996-02-23,388.856749275593,424,0.960961967385133,-35.1432507244065
10,5,1996-02-24,373.676546814861,397,0.960961967385133,-23.3234531851385
10,6,1996-02-25,359.088949592892,363,0.960961967385133,-3.91105040710812
10,7,1996-02-26,345.070823467046,341,0.960961967385133,4.07082346704607
10,8,1996-02-27,331.5999374061,326,0.960961967385133,5.59993740610031
10,9,1996-02-28,318.654928234553,323,0.960961967385133,-4.34507176544707
10,10,1996-02-29,306.215266753244,313,0.960961967385133,-6.78473324675582
10,11,1996-03-01,294.261225182561,291,0.960961967385133,3.26122518256068
10,12,1996-03-02,282.773845876593,283,0.960961967385133,-0.226154123406957
10,13,1996-03-03,271.734911258631,273,0.960961967385133,-1.26508874136891
10,14,1996-03-04,261.126914930319,257,0.960961967385133,4.12691493031855
10,15,1996-03-05,250.933033908649,247,0.960961967385133,3.93303390864901
20,1,2001-04-15,184.124501092707,175,0.974203709485221,9.12450109270674
20,2,2001-04-16,179.374771971631,167,0.974203709485221,12.3747719716305
20,3,2001-04-17,174.747568242828,159,0.974203709485221,15.7475682428281
20,4,2001-04-18,170.239729205685,155,0.974203709485221,15.2397292056849
20,5,2001-04-19,165.848175693938,149,0.974203709485221,16.8481756939377
20,6,2001-04-20,161.569907972391,141,0.974203709485221,20.5699079723907
20,7,2001-04-21,157.402003687889,138,0.974203709485221,19.4020036878888
20,8,2001-04-22,153.341615873148,134,0.974203709485221,19.3416158731477
20,9,2001-04-23,149.385971002078,129,0.974203709485221,20.3859710020783
20,10,2001-04-24,145.532367095276,124,0.974203709485221,21.5323670952763
20,11,2001-04-25,141.778171874383,123,0.974203709485221,18.7781718743831
20,12,2001-04-26,138.120820964057,120,0.974203709485221,18.1208209640572
20,13,2001-04-27,134.557816140329,115,0.974203709485221,19.5578161403286
20,14,2001-04-28,131.086723624138,111,0.974203709485221,20.0867236241384
20,15,2001-04-29,127.7051724189,108,0.974203709485221,19.7051724188996
25,1,2002-02-15,128.342621946947,123,0.979714671350741,5.34262194694702
25,2,2002-02-16,125.739149681046,115,0.979714671350741,10.7391496810456
25,3,2002-02-17,123.188489705687,113,0.979714671350741,10.1884897056871
25,4,2002-02-18,120.689570706201,106,0.979714671350741,14.6895707062014
25,5,2002-02-19,118.241343099888,104,0.979714671350741,14.241343099888
25,6,2002-02-20,115.842778595177,101,0.979714671350741,14.842778595177
25,7,2002-02-21,113.49286975973,99.9,0.979714671350741,13.5928697597304
25,8,2002-02-22,111.190629597307,95.6,0.979714671350741,15.5906295973067
25,9,2002-02-23,108.935091133207,92.6,0.979714671350741,16.3350911332073
25,10,2002-02-24,106.725307008133,89.6,0.979714671350741,17.1253070081332
