"Date","Flow","site_no","site_name","area_sqmi"
1984-10-02,155.603104,"01632000","Cootes Store",209.8707
1984-10-03,116.985403,"01632000","Cootes Store",209.8707
1984-10-04,100.167941,"01632000","Cootes Store",209.8707
1984-10-05,90.236614,"01632000","Cootes Store",209.8707
1984-10-06,82.003888,"01632000","Cootes Store",209.8707
1984-10-07,74.714694,"01632000","Cootes Store",209.8707
1984-10-08,68.596777,"01632000","Cootes Store",209.8707
1984-10-09,64.061929,"01632000","Cootes Store",209.8707
1984-10-10,60.263419,"01632000","Cootes Store",209.8707
1984-10-11,55.545163,"01632000","Cootes Store",209.8707
1984-10-12,50.215724,"01632000","Cootes Store",209.8707
1984-10-13,45.073593,"01632000","Cootes Store",209.8707
1984-10-14,40.257978,"01632000","Cootes Store",209.8707
1984-10-15,35.746715,"01632000","Cootes Store",209.8707
1984-10-16,33.156938,"01632000","Cootes Store",209.8707
1984-10-17,31.609071,"01632000","Cootes Store",209.8707
1984-10-18,29.622651,"01632000","Cootes Store",209.8707
1984-10-19,27.361728,"01632000","Cootes Store",209.8707
1984-10-20,23.945119,"01632000","Cootes Store",209.8707
1984-10-21,20.036845,"01632000","Cootes Store",209.8707
1984-10-22,22.081266,"01632000","Cootes Store",209.8707
1984-10-23,44.827767,"01632000","Cootes Store",209.8707
1984-10-24,70.402154,"01632000","Cootes Store",209.8707
1984-10-25,66.714704,"01632000","Cootes Store",209.8707
1984-10-26,56.040674,"01632000","Cootes Store",209.8707
1984-10-27,49.282178,"01632000","Cootes Store",209.8707
1984-10-28,44.911966,"01632000","Cootes Store",209.8707
1984-10-29,65.671511,"01632000","Cootes Store",209.8707
1984-10-30,80.286066,"01632000","Cootes Store",209.8707
1984-10-31,64.48073,"01632000","Cootes Store",209.8707
1984-11-01,55.090929,"01632000","Cootes Store",209.8707
1984-11-02,48.333128,"01632000","Cootes Store",209.8707
1984-11-03,43.258459,"01632000","Cootes Store",209.8707
1984-11-04,44.959063,"01632000","Cootes Store",209.8707
1984-11-05,65.720356,"01632000","Cootes Store",209.8707
1984-11-06,78.702633,"01632000","Cootes Store",209.8707
1984-11-07,70.096052,"01632000","Cootes Store",209.8707
1984-11-08,64.438288,"01632000","Cootes Store",209.8707
1984-11-09,59.66009,"01632000","Cootes Store",209.8707
1984-11-10,55.430576,"01632000","Cootes Store",209.8707
1984-11-11,55.543807,"01632000","Cootes Store",209.8707
1984-11-12,56.630516,"01632000","Cootes Store",209.8707
1984-11-13,54.196032,"01632000","Cootes Store",209.8707
1984-11-14,51.499396,"01632000","Cootes Store",209.8707
1984-11-15,48.988947,"01632000","Cootes Store",209.8707
1984-11-16,46.43276,"01632000","Cootes Store",209.8707
1984-11-17,43.723084,"01632000","Cootes Store",209.8707
1984-11-18,43.8847,"01632000","Cootes Store",209.8707
1984-11-19,63.918357,"01632000","Cootes Store",209.8707
1984-11-20,76.564072,"01632000","Cootes Store",209.8707
1984-11-21,65.376639,"01632000","Cootes Store",209.8707
1984-11-22,59.992145,"01632000","Cootes Store",209.8707
1984-11-23,56.373844,"01632000","Cootes Store",209.8707
1984-11-24,54.464836,"01632000","Cootes Store",209.8707
1984-11-25,57.862017,"01632000","Cootes Store",209.8707
1984-11-26,63.299554,"01632000","Cootes Store",209.8707
1984-11-27,91.999002,"01632000","Cootes Store",209.8707
1984-11-28,216.293886,"01632000","Cootes Store",209.8707
1984-11-29,406.41244,"01632000","Cootes Store",209.8707
1984-11-30,374.27844,"01632000","Cootes Store",209.8707
1984-12-01,240.55186,"01632000","Cootes Store",209.8707
1984-12-02,195.131611,"01632000","Cootes Store",209.8707
1984-12-03,167.854565,"01632000","Cootes Store",209.8707
1984-12-04,152.643883,"01632000","Cootes Store",209.8707
1984-12-05,143.410327,"01632000","Cootes Store",209.8707
1984-12-06,137.861455,"01632000","Cootes Store",209.8707
1984-12-07,132.884551,"01632000","Cootes Store",209.8707
1984-12-08,127.395962,"01632000","Cootes Store",209.8707
1984-12-09,128.753693,"01632000","Cootes Store",209.8707
1984-12-10,143.566514,"01632000","Cootes Store",209.8707
1984-12-11,178.743461,"01632000","Cootes Store",209.8707
1984-12-12,193.061536,"01632000","Cootes Store",209.8707
1984-12-13,172.751836,"01632000","Cootes Store",209.8707
1984-12-14,156.870442,"01632000","Cootes Store",209.8707
1984-12-15,146.045286,"01632000","Cootes Store",209.8707
1984-12-16,137.827032,"01632000","Cootes Store",209.8707
1984-12-17,130.715934,"01632000","Cootes Store",209.8707
1984-12-18,124.223447,"01632000","Cootes Store",209.8707
1984-12-19,125.50115,"01632000","Cootes Store",209.8707
1984-12-20,127.957609,"01632000","Cootes Store",209.8707
1984-12-21,167.517235,"01632000","Cootes Store",209.8707
1984-12-22,207.774127,"01632000","Cootes Store",209.8707
1984-12-23,180.907674,"01632000","Cootes Store",209.8707
1984-12-24,149.347814,"01632000","Cootes Store",209.8707
1984-12-25,141.104294,"01632000","Cootes Store",209.8707
1984-12-26,136.690092,"01632000","Cootes Store",209.8707
1984-12-27,125.605083,"01632000","Cootes Store",209.8707
1984-12-28,118.087728,"01632000","Cootes Store",209.8707
1984-12-29,112.401709,"01632000","Cootes Store",209.8707
1984-12-30,107.412614,"01632000","Cootes Store",209.8707
1984-12-31,113.900447,"01632000","Cootes Store",209.8707
1985-01-01,120.071128,"01632000","Cootes Store",209.8707
1985-01-02,155.05276,"01632000","Cootes Store",209.8707
1985-01-03,204.804257,"01632000","Cootes Store",209.8707
1985-01-04,193.104719,"01632000","Cootes Store",209.8707
1985-01-05,173.04504,"01632000","Cootes Store",209.8707
1985-01-06,162.317838,"01632000","Cootes Store",209.8707
1985-01-07,154.424106,"01632000","Cootes Store",209.8707
1985-01-08,158.673694,"01632000","Cootes Store",209.8707
1985-01-09,154.156106,"01632000","Cootes Store",209.8707
1985-01-10,142.522092,"01632000","Cootes Store",209.8707
1985-01-11,134.226955,"01632000","Cootes Store",209.8707
1985-01-12,127.755521,"01632000","Cootes Store",209.8707
1985-01-13,122.238136,"01632000","Cootes Store",209.8707
1985-01-14,117.304059,"01632000","Cootes Store",209.8707
1985-01-15,112.693424,"01632000","Cootes Store",209.8707
1985-01-16,108.267903,"01632000","Cootes Store",209.8707
1985-01-17,104.084928,"01632000","Cootes Store",209.8707
1985-01-18,100.114389,"01632000","Cootes Store",209.8707
1985-01-19,98.196811,"01632000","Cootes Store",209.8707
1985-01-20,96.174532,"01632000","Cootes Store",209.8707
1985-01-21,91.56185,"01632000","Cootes Store",209.8707
1985-01-22,87.112768,"01632000","Cootes Store",209.8707
1985-01-23,83.562219,"01632000","Cootes Store",209.8707
1985-01-24,80.340954,"01632000","Cootes Store",209.8707
1985-01-25,78.048645,"01632000","Cootes Store",209.8707
1985-01-26,75.930986,"01632000","Cootes Store",209.8707
1985-01-27,72.781163,"01632000","Cootes Store",209.8707
1985-01-28,69.572104,"01632000","Cootes Store",209.8707
1985-01-29,66.89857,"01632000","Cootes Store",209.8707
1985-01-30,64.461949,"01632000","Cootes Store",209.8707
1985-01-31,68.161766,"01632000","Cootes Store",209.8707
1985-02-01,111.088287,"01632000","Cootes Store",209.8707
1985-02-02,127.264702,"01632000","Cootes Store",209.8707
1985-02-03,91.36518,"01632000","Cootes Store",209.8707
1985-02-04,75.401186,"01632000","Cootes Store",209.8707
1985-02-05,66.46383,"01632000","Cootes Store",209.8707
1985-02-06,70.922913,"01632000","Cootes Store",209.8707
1985-02-07,74.624578,"01632000","Cootes Store",209.8707
1985-02-08,66.311334,"01632000","Cootes Store",209.8707
1985-02-09,59.406681,"01632000","Cootes Store",209.8707
1985-02-10,54.605448,"01632000","Cootes Store",209.8707
1985-02-11,58.114016,"01632000","Cootes Store",209.8707
1985-02-12,864.42591,"01632000","Cootes Store",209.8707
1985-02-13,1394.903572,"01632000","Cootes Store",209.8707
1985-02-14,634.568034,"01632000","Cootes Store",209.8707
1985-02-15,392.443661,"01632000","Cootes Store",209.8707
1985-02-16,245.08117,"01632000","Cootes Store",209.8707
1985-02-17,174.810312,"01632000","Cootes Store",209.8707
1985-02-18,138.21351,"01632000","Cootes Store",209.8707
1985-02-19,124.494914,"01632000","Cootes Store",209.8707
1985-02-20,135.49316,"01632000","Cootes Store",209.8707
1985-02-21,152.553638,"01632000","Cootes Store",209.8707
1985-02-22,262.995523,"01632000","Cootes Store",209.8707
1985-02-23,536.660832,"01632000","Cootes Store",209.8707
1985-02-24,690.319416,"01632000","Cootes Store",209.8707
1985-02-25,563.398076,"01632000","Cootes Store",209.8707
1985-02-26,424.470318,"01632000","Cootes Store",209.8707
1985-02-27,354.067765,"01632000","Cootes Store",209.8707
1985-02-28,292.808158,"01632000","Cootes Store",209.8707
1985-03-01,258.051176,"01632000","Cootes Store",209.8707
1985-03-02,237.271823,"01632000","Cootes Store",209.8707
1985-03-03,223.100589,"01632000","Cootes Store",209.8707
1985-03-04,211.968617,"01632000","Cootes Store",209.8707
1985-03-05,202.259735,"01632000","Cootes Store",209.8707
1985-03-06,193.192208,"01632000","Cootes Store",209.8707
1985-03-07,184.814341,"01632000","Cootes Store",209.8707
1985-03-08,176.915666,"01632000","Cootes Store",209.8707
1985-03-09,169.057731,"01632000","Cootes Store",209.8707
1985-03-10,161.263129,"01632000","Cootes Store",209.8707
