"","site_no","flow_metric","m","b","landseg"
"1","01632000","Flow",-0.000304749813736823,0.944480514713425,"N51165"
"2","01632000","flow_in_day",-0.00030474981373682,0.94184783572043,"N51165"
"3","01633000","Flow",-0.0088197869058755,1.00426877585677,"N51171"
"4","01633000","flow_in_day",-0.00881978690587551,0.920285048640251,"N51171"
"5","01634000","Flow",-0.0175014587316759,1.0651128098286,"N51187"
"6","01634000","flow_in_day",-0.0175014587316759,0.89118149868779,"N51187"
