"Date","Flow","site_no","site_name","area_sqmi"
1984-10-02,332.44758,"01633000","Mount Jackson",508.9642
1984-10-03,456.525866,"01633000","Mount Jackson",508.9642
1984-10-04,357.248426,"01633000","Mount Jackson",508.9642
1984-10-05,290.828999,"01633000","Mount Jackson",508.9642
1984-10-06,251.70815,"01633000","Mount Jackson",508.9642
1984-10-07,228.00849,"01633000","Mount Jackson",508.9642
1984-10-08,209.973424,"01633000","Mount Jackson",508.9642
1984-10-09,195.491433,"01633000","Mount Jackson",508.9642
1984-10-10,183.82162,"01633000","Mount Jackson",508.9642
1984-10-11,174.159877,"01633000","Mount Jackson",508.9642
1984-10-12,164.744804,"01633000","Mount Jackson",508.9642
1984-10-13,154.830894,"01633000","Mount Jackson",508.9642
1984-10-14,144.812206,"01633000","Mount Jackson",508.9642
1984-10-15,135.107606,"01633000","Mount Jackson",508.9642
1984-10-16,125.865354,"01633000","Mount Jackson",508.9642
1984-10-17,120.339621,"01633000","Mount Jackson",508.9642
1984-10-18,116.001134,"01633000","Mount Jackson",508.9642
1984-10-19,110.114169,"01633000","Mount Jackson",508.9642
1984-10-20,104.495714,"01633000","Mount Jackson",508.9642
1984-10-21,98.043274,"01633000","Mount Jackson",508.9642
1984-10-22,90.995353,"01633000","Mount Jackson",508.9642
1984-10-23,104.165608,"01633000","Mount Jackson",508.9642
1984-10-24,168.966461,"01633000","Mount Jackson",508.9642
1984-10-25,231.014337,"01633000","Mount Jackson",508.9642
1984-10-26,220.595969,"01633000","Mount Jackson",508.9642
1984-10-27,187.376714,"01633000","Mount Jackson",508.9642
1984-10-28,164.749137,"01633000","Mount Jackson",508.9642
1984-10-29,149.932038,"01633000","Mount Jackson",508.9642
1984-10-30,200.046844,"01633000","Mount Jackson",508.9642
1984-10-31,241.628528,"01633000","Mount Jackson",508.9642
1984-11-01,207.606135,"01633000","Mount Jackson",508.9642
1984-11-02,181.735292,"01633000","Mount Jackson",508.9642
1984-11-03,162.223236,"01633000","Mount Jackson",508.9642
1984-11-04,148.396328,"01633000","Mount Jackson",508.9642
1984-11-05,151.424461,"01633000","Mount Jackson",508.9642
1984-11-06,199.585398,"01633000","Mount Jackson",508.9642
1984-11-07,229.94641,"01633000","Mount Jackson",508.9642
1984-11-08,210.007312,"01633000","Mount Jackson",508.9642
1984-11-09,193.740703,"01633000","Mount Jackson",508.9642
1984-11-10,180.30139,"01633000","Mount Jackson",508.9642
1984-11-11,169.595545,"01633000","Mount Jackson",508.9642
1984-11-12,166.405587,"01633000","Mount Jackson",508.9642
1984-11-13,165.539907,"01633000","Mount Jackson",508.9642
1984-11-14,160.073137,"01633000","Mount Jackson",508.9642
1984-11-15,154.023275,"01633000","Mount Jackson",508.9642
1984-11-16,147.737607,"01633000","Mount Jackson",508.9642
1984-11-17,141.575675,"01633000","Mount Jackson",508.9642
1984-11-18,135.384011,"01633000","Mount Jackson",508.9642
1984-11-19,138.041443,"01633000","Mount Jackson",508.9642
1984-11-20,208.072746,"01633000","Mount Jackson",508.9642
1984-11-21,256.028209,"01633000","Mount Jackson",508.9642
1984-11-22,218.167185,"01633000","Mount Jackson",508.9642
1984-11-23,193.504424,"01633000","Mount Jackson",508.9642
1984-11-24,176.971368,"01633000","Mount Jackson",508.9642
1984-11-25,166.810349,"01633000","Mount Jackson",508.9642
1984-11-26,162.477964,"01633000","Mount Jackson",508.9642
1984-11-27,163.733757,"01633000","Mount Jackson",508.9642
1984-11-28,252.314339,"01633000","Mount Jackson",508.9642
1984-11-29,577.020665,"01633000","Mount Jackson",508.9642
1984-11-30,1024.441416,"01633000","Mount Jackson",508.9642
1984-12-01,1039.073396,"01633000","Mount Jackson",508.9642
1984-12-02,743.050769,"01633000","Mount Jackson",508.9642
1984-12-03,560.04653,"01633000","Mount Jackson",508.9642
1984-12-04,459.864886,"01633000","Mount Jackson",508.9642
1984-12-05,405.496504,"01633000","Mount Jackson",508.9642
1984-12-06,376.078467,"01633000","Mount Jackson",508.9642
1984-12-07,362.6362,"01633000","Mount Jackson",508.9642
1984-12-08,352.063206,"01633000","Mount Jackson",508.9642
1984-12-09,339.756145,"01633000","Mount Jackson",508.9642
1984-12-10,350.957708,"01633000","Mount Jackson",508.9642
1984-12-11,394.125234,"01633000","Mount Jackson",508.9642
1984-12-12,443.301282,"01633000","Mount Jackson",508.9642
1984-12-13,462.516496,"01633000","Mount Jackson",508.9642
1984-12-14,441.516574,"01633000","Mount Jackson",508.9642
1984-12-15,407.958851,"01633000","Mount Jackson",508.9642
1984-12-16,379.357333,"01633000","Mount Jackson",508.9642
1984-12-17,357.73357,"01633000","Mount Jackson",508.9642
1984-12-18,340.02559,"01633000","Mount Jackson",508.9642
1984-12-19,324.653488,"01633000","Mount Jackson",508.9642
1984-12-20,320.913205,"01633000","Mount Jackson",508.9642
1984-12-21,321.378427,"01633000","Mount Jackson",508.9642
1984-12-22,399.098989,"01633000","Mount Jackson",508.9642
1984-12-23,488.75657,"01633000","Mount Jackson",508.9642
1984-12-24,464.71719,"01633000","Mount Jackson",508.9642
1984-12-25,407.61492,"01633000","Mount Jackson",508.9642
1984-12-26,370.301453,"01633000","Mount Jackson",508.9642
1984-12-27,350.260651,"01633000","Mount Jackson",508.9642
1984-12-28,326.906778,"01633000","Mount Jackson",508.9642
1984-12-29,307.460111,"01633000","Mount Jackson",508.9642
1984-12-30,292.065348,"01633000","Mount Jackson",508.9642
1984-12-31,279.506144,"01633000","Mount Jackson",508.9642
1985-01-01,286.637673,"01633000","Mount Jackson",508.9642
1985-01-02,299.865645,"01633000","Mount Jackson",508.9642
1985-01-03,382.235533,"01633000","Mount Jackson",508.9642
1985-01-04,506.469131,"01633000","Mount Jackson",508.9642
1985-01-05,524.031597,"01633000","Mount Jackson",508.9642
1985-01-06,518.851207,"01633000","Mount Jackson",508.9642
1985-01-07,498.255655,"01633000","Mount Jackson",508.9642
1985-01-08,448.190522,"01633000","Mount Jackson",508.9642
1985-01-09,425.511872,"01633000","Mount Jackson",508.9642
1985-01-10,408.059073,"01633000","Mount Jackson",508.9642
1985-01-11,384.901671,"01633000","Mount Jackson",508.9642
1985-01-12,363.359957,"01633000","Mount Jackson",508.9642
1985-01-13,345.64352,"01633000","Mount Jackson",508.9642
1985-01-14,330.982792,"01633000","Mount Jackson",508.9642
1985-01-15,318.146545,"01633000","Mount Jackson",508.9642
1985-01-16,306.530842,"01633000","Mount Jackson",508.9642
1985-01-17,295.753402,"01633000","Mount Jackson",508.9642
1985-01-18,285.23783,"01633000","Mount Jackson",508.9642
1985-01-19,274.970497,"01633000","Mount Jackson",508.9642
1985-01-20,272.023701,"01633000","Mount Jackson",508.9642
1985-01-21,272.265939,"01633000","Mount Jackson",508.9642
1985-01-22,263.300054,"01633000","Mount Jackson",508.9642
1985-01-23,250.096478,"01633000","Mount Jackson",508.9642
1985-01-24,238.915392,"01633000","Mount Jackson",508.9642
1985-01-25,229.38003,"01633000","Mount Jackson",508.9642
1985-01-26,224.449029,"01633000","Mount Jackson",508.9642
1985-01-27,221.634511,"01633000","Mount Jackson",508.9642
1985-01-28,214.351806,"01633000","Mount Jackson",508.9642
1985-01-29,204.938017,"01633000","Mount Jackson",508.9642
1985-01-30,196.665272,"01633000","Mount Jackson",508.9642
1985-01-31,189.384353,"01633000","Mount Jackson",508.9642
1985-02-01,212.173739,"01633000","Mount Jackson",508.9642
1985-02-02,424.510433,"01633000","Mount Jackson",508.9642
1985-02-03,587.112122,"01633000","Mount Jackson",508.9642
1985-02-04,463.60463,"01633000","Mount Jackson",508.9642
1985-02-05,352.758774,"01633000","Mount Jackson",508.9642
1985-02-06,286.880529,"01633000","Mount Jackson",508.9642
1985-02-07,292.694664,"01633000","Mount Jackson",508.9642
1985-02-08,318.565996,"01633000","Mount Jackson",508.9642
1985-02-09,296.523573,"01633000","Mount Jackson",508.9642
1985-02-10,261.398628,"01633000","Mount Jackson",508.9642
1985-02-11,232.847611,"01633000","Mount Jackson",508.9642
1985-02-12,235.560618,"01633000","Mount Jackson",508.9642
1985-02-13,2414.896259,"01633000","Mount Jackson",508.9642
1985-02-14,4167.897522,"01633000","Mount Jackson",508.9642
1985-02-15,2257.990479,"01633000","Mount Jackson",508.9642
1985-02-16,1290.622379,"01633000","Mount Jackson",508.9642
1985-02-17,807.668043,"01633000","Mount Jackson",508.9642
1985-02-18,584.145605,"01633000","Mount Jackson",508.9642
1985-02-19,451.291639,"01633000","Mount Jackson",508.9642
1985-02-20,389.241322,"01633000","Mount Jackson",508.9642
1985-02-21,370.378196,"01633000","Mount Jackson",508.9642
1985-02-22,378.719909,"01633000","Mount Jackson",508.9642
1985-02-23,466.131089,"01633000","Mount Jackson",508.9642
1985-02-24,732.586799,"01633000","Mount Jackson",508.9642
1985-02-25,1024.933888,"01633000","Mount Jackson",508.9642
1985-02-26,1053.962826,"01633000","Mount Jackson",508.9642
1985-02-27,921.110084,"01633000","Mount Jackson",508.9642
1985-02-28,787.846523,"01633000","Mount Jackson",508.9642
1985-03-01,669.550565,"01633000","Mount Jackson",508.9642
1985-03-02,587.716229,"01633000","Mount Jackson",508.9642
1985-03-03,534.118106,"01633000","Mount Jackson",508.9642
1985-03-04,498.881473,"01633000","Mount Jackson",508.9642
1985-03-05,472.658921,"01633000","Mount Jackson",508.9642
1985-03-06,451.144175,"01633000","Mount Jackson",508.9642
1985-03-07,431.899129,"01633000","Mount Jackson",508.9642
1985-03-08,414.169029,"01633000","Mount Jackson",508.9642
1985-03-09,397.574127,"01633000","Mount Jackson",508.9642
