"GroupID","start_date","end_date","n_days","median_flow","event_AGWRC"
2,1907-05-05,1907-05-18,6,524.5,0.978427612446822
3,1908-09-11,1908-10-01,10,152,0.972257748530846
4,1919-07-29,1919-08-11,7,250,0.970467828357127
5,1919-10-20,1919-11-10,14,102,0.979258818627406
6,1920-04-14,1920-04-25,11,223,0.972616346567292
8,1921-12-07,1921-12-23,8,252.5,0.950241368975303
9,1923-04-19,1923-05-12,11,255,0.96861883075329
12,1925-05-18,1925-06-06,13,142,0.949866929455209
13,1927-03-12,1927-03-30,9,207,0.968695420561476
14,1927-06-07,1927-06-25,10,114,0.986045812909346
15,1937-09-17,1937-09-25,8,203,0.969600074971782
16,1937-11-18,1937-12-03,9,365,0.997280325317771
17,1937-12-15,1937-12-27,5,273,0.999296376572033
18,1938-01-31,1938-02-22,11,309,0.981556872484338
19,1938-03-18,1938-03-25,6,325.5,0.949924842064174
20,1939-08-29,1939-09-12,14,136,0.954460602243456
22,1942-11-06,1942-11-21,13,166,0.971081003148569
23,1943-02-17,1943-03-03,8,355,0.954590915221963
26,1945-04-03,1945-04-13,6,210.5,0.956351522248699
27,1946-02-18,1946-03-01,6,479,0.956324056604324
28,1946-07-24,1946-08-12,10,129.5,0.964199951813263
30,1949-11-16,1949-11-24,9,207,0.972536024818348
31,1950-04-04,1950-04-23,14,246,0.974107217860895
32,1950-10-29,1950-11-13,10,174,0.993563889951961
33,1951-04-21,1951-05-10,12,481.5,0.954036112440401
36,1955-03-30,1955-04-05,7,470,0.920290426280199
37,1955-05-01,1955-05-07,4,321.5,0.950370108350819
38,1956-11-30,1956-12-11,10,147,0.964422838569481
39,1957-03-11,1957-03-31,10,369.5,0.984669848443261
42,1958-05-21,1958-06-09,12,418.5,0.946561239321244
43,1958-08-31,1958-09-20,11,77,0.988557691106792
44,1959-09-11,1959-09-27,11,67,0.978643005458955
45,1959-11-03,1959-11-19,12,162.5,0.973484109740306
47,1960-09-27,1960-10-05,6,75,0.978555936616647
49,1961-04-24,1961-05-05,8,379.5,0.981325802970253
50,1961-05-24,1961-06-03,10,247,0.937421228949164
51,1963-03-31,1963-04-22,14,212,0.972417726628707
52,1964-10-28,1964-11-07,10,93.5,0.980139992958273
53,1966-03-20,1966-04-08,14,119,0.97817101468502
55,1967-04-01,1967-04-09,9,284,0.968387716301503
58,1969-04-26,1969-05-07,12,216,0.955870643680257
59,1970-03-01,1970-03-16,10,170.5,0.977151400138904
62,1971-12-19,1972-01-01,8,195.5,0.98338801512017
63,1972-05-30,1972-06-12,9,232,0.955478993338828
64,1972-09-01,1972-09-20,13,102,0.982293961647151
65,1973-05-13,1973-05-22,7,323,0.965488685112357
67,1974-10-08,1974-10-15,5,72,0.996098037319447
