"GroupID","start_date","end_date","n_days","median_flow","event_AGWRC","logQ","IQR_flagged_outlier"
1,1925-05-12,1925-05-26,7,403,0.961366257259062,5.99893656194668,FALSE
2,1926-05-19,1926-06-07,10,249,0.935914518444191,5.51745289646471,FALSE
4,1934-12-27,1935-01-13,8,306,0.97352065731256,5.72358510195238,FALSE
5,1935-09-17,1935-09-27,5,253,0.963336867702866,5.53338948872752,FALSE
6,1937-03-06,1937-03-13,6,497,0.94688404298281,6.20859002609663,FALSE
7,1939-03-25,1939-04-15,17,404,0.973480358488712,6.00141487796115,FALSE
8,1939-04-30,1939-05-19,13,446,0.964971285824647,6.10031895202006,FALSE
9,1940-05-08,1940-05-20,9,389,0.962365960139368,5.96357934361845,FALSE
11,1941-02-04,1941-02-19,10,375,0.965550363289138,5.92692602597041,FALSE
12,1941-04-16,1941-05-12,18,369.5,0.965537669792497,5.91215074038826,FALSE
13,1942-11-07,1942-11-20,12,565,0.964675310084533,6.33682573114644,FALSE
14,1942-11-30,1942-12-20,16,462.5,0.974978739713429,6.13664655695248,FALSE
15,1943-01-10,1943-01-24,11,573,0.980789868509954,6.35088571671474,FALSE
16,1943-02-19,1943-03-05,11,617,0.956726334680995,6.42486902390539,FALSE
18,1944-02-07,1944-02-14,5,154,0.964748377674366,5.03695260241363,FALSE
19,1944-10-31,1944-11-13,8,260.5,0.967468938677086,5.56260286119342,FALSE
20,1945-03-17,1945-04-16,23,385,0.985400274376919,5.95324333428778,FALSE
23,1949-03-04,1949-03-17,9,595,0.966571891409323,6.38856140554563,FALSE
25,1949-11-10,1949-11-20,7,297,0.963560590000257,5.6937321388027,FALSE
28,1954-12-05,1954-12-13,7,281,0.969551357539403,5.63835466933375,FALSE
29,1955-01-10,1955-01-21,7,389,0.955960802074271,5.96357934361845,FALSE
30,1955-09-11,1955-09-15,5,378,0.953717108236115,5.93489419561959,FALSE
31,1955-10-12,1955-10-28,8,176,0.985305927842505,5.17048399503815,FALSE
32,1956-02-24,1956-03-07,9,339,0.962686719698675,5.82600010738045,FALSE
33,1956-04-20,1956-04-30,10,389.5,0.966703382081989,5.9648638653108,FALSE
34,1956-11-23,1956-12-11,8,121.5,0.990017665615792,4.7999142627806,FALSE
35,1957-03-15,1957-03-29,10,435.5,0.96565526629642,6.07649479629256,FALSE
36,1957-04-17,1957-04-23,7,506,0.935701896943616,6.22653666928747,FALSE
37,1958-02-19,1958-02-25,7,310,0.965178139447754,5.73657229747919,FALSE
39,1958-10-05,1958-10-20,10,142,0.987408624223045,4.95582705760126,FALSE
