"GroupID","start_date","end_date","n_days","median_flow","event_AGWRC"
1,1902-01-05,1902-01-20,9,3350,0.939875039689042
3,1903-04-26,1903-05-14,13,2960,0.959179366859505
7,1908-01-23,1908-02-06,9,4260,0.948451632181067
8,1908-03-13,1908-03-30,8,3730,0.971747481120841
9,1908-09-09,1908-09-23,7,980,0.963572520840286
10,1928-09-28,1928-10-11,10,1635,0.963712399870114
13,1937-03-08,1937-03-13,5,2730,0.961357649997985
15,1939-03-27,1939-04-03,7,2240,0.983637019011038
16,1939-04-21,1939-05-07,11,2760,0.9410057829578
18,1941-01-29,1941-02-12,12,2485,0.968833805261853
21,1943-02-16,1943-03-05,12,2935,0.958424816090937
22,1943-03-28,1943-04-08,11,3250,0.953733416615752
26,1946-04-08,1946-04-18,5,2280,0.964525191174246
28,1949-02-26,1949-03-15,14,2770,0.96506747808659
30,1951-04-21,1951-05-03,6,3295,0.969284647464566
33,1955-05-20,1955-06-06,7,1450,0.957566097664317
34,1956-02-13,1956-03-05,15,2140,0.968790215053938
35,1956-03-24,1956-04-02,7,2820,0.950906877632901
39,1959-11-07,1959-11-21,9,924,0.971287801061958
40,1960-02-25,1960-03-15,14,2655,0.959059274462126
44,1961-05-27,1961-06-08,7,1930,0.962302588187798
45,1962-01-22,1962-02-03,10,1845,0.971815604835546
47,1962-10-11,1962-10-25,7,473,0.984903085742844
48,1963-04-06,1963-04-14,9,2160,0.965008175908126
49,1964-03-24,1964-04-13,12,2165,0.981414742313575
50,1965-05-03,1965-05-18,11,2360,0.979571470644341
51,1967-04-06,1967-04-14,7,1950,0.96479258181027
52,1968-04-04,1968-04-13,8,2335,0.965826438094169
53,1971-03-24,1971-04-06,9,2120,0.978949844961003
54,1971-04-22,1971-05-07,13,1630,0.971635762258411
55,1971-11-06,1971-11-22,9,1690,0.964405571036017
56,1971-12-17,1972-01-01,11,1530,0.967776572391967
57,1973-05-10,1973-05-24,12,2820,0.966904790625921
61,1975-11-01,1975-11-07,6,1960,0.966108519644171
62,1975-11-24,1975-12-23,22,1540,0.988685487400823
63,1976-02-09,1976-03-07,21,2410,0.985388363968158
64,1976-04-14,1976-04-25,9,1780,0.970453738007353
65,1976-11-14,1976-11-27,11,1620,0.97213890090896
66,1978-02-06,1978-02-16,9,2600,0.959705480452911
67,1978-04-09,1978-04-17,9,3000,0.950727161537364
68,1978-05-27,1978-06-06,10,2330,0.949380057373964
70,1979-10-22,1979-11-01,8,3495,0.950366500559168
71,1979-12-11,1979-12-19,6,2270,0.981568186345751
72,1980-01-31,1980-02-15,13,2600,0.96411028978235
73,1981-02-25,1981-03-12,9,1350,0.926067289397211
74,1981-08-03,1981-08-19,6,628,0.988741562093233
75,1982-03-30,1982-04-16,11,2960,0.960094169239112
76,1982-05-05,1982-05-14,6,2025,0.939516259163583
77,1982-12-25,1983-01-05,7,1580,0.95177618132168
79,1984-06-02,1984-06-16,9,1610,0.969658511684856
81,1985-03-13,1985-03-21,6,1565,0.970022803102564
82,1985-04-12,1985-04-21,10,1475,0.977182380010449
83,1985-12-19,1986-01-08,18,2095,0.97230495087372
84,1986-03-03,1986-03-11,8,2765,0.969907737537547
86,1986-04-28,1986-05-05,8,1815,0.952148843705668
88,1987-03-17,1987-03-25,8,2320,0.951546088499424
89,1988-03-11,1988-03-19,7,1480,0.972776276502749
90,1988-06-01,1988-06-25,13,1450,0.951957523044388
91,1989-11-27,1989-12-05,6,1685,0.967012760607004
92,1990-04-12,1990-04-28,11,2720,0.943843270967321
93,1991-02-14,1991-02-27,8,2105,0.986423332454249
94,1991-04-20,1991-05-08,16,2370,0.964492848857829
95,1991-08-22,1991-09-04,11,674,0.969572240512449
97,1992-01-16,1992-02-04,12,1130,0.973404487897761
99,1992-05-22,1992-06-04,8,2260,0.94416523528235
100,1993-01-29,1993-02-06,8,2620,0.938929056634067
102,1993-07-04,1993-07-26,14,1020,0.97375949835687
103,1993-10-01,1993-10-14,7,792,0.974994296871972
104,1994-05-21,1994-06-07,14,1865,0.965934930188524
105,1994-09-08,1994-09-21,10,975,0.982501566074579
106,1995-01-29,1995-02-15,11,2040,0.962849288200103
107,1995-03-27,1995-04-09,10,1570,0.9745603940559
108,1995-08-17,1995-08-29,9,1000,0.955003095810438
109,1996-04-14,1996-04-28,12,2800,0.9664872789451
111,1996-12-28,1997-01-15,18,3475,0.966906307716321
112,1997-04-05,1997-04-23,12,2630,0.978481955488883
113,1997-05-03,1997-05-24,15,1970,0.979954569854171
114,1997-07-01,1997-07-14,7,1170,0.970570067592003
115,1997-11-20,1997-12-09,16,1755,0.973610424690495
120,1999-01-31,1999-02-16,11,1390,0.970531873138657
122,1999-05-29,1999-06-12,7,940,0.96581161253751
125,2000-02-29,2000-03-08,7,2120,0.950497027872564
126,2000-05-28,2000-06-14,9,1140,0.97284101585926
128,2000-10-20,2000-11-07,12,717,0.989218632778232
129,2000-12-29,2001-01-14,17,900,0.982917147178503
130,2001-02-21,2001-03-10,12,1405,0.99824863565747
