"GroupID","start_date","end_date","n_days","median_flow","event_AGWRC","logQ","IQR_flagged_outlier","cooks_distance","cooks_flagged"
1,1925-05-12,1925-05-26,7,403,0.961366257259062,5.99893656194668,FALSE,2.83233174857658e-08,FALSE
2,1926-05-19,1926-06-07,10,249,0.935914518444191,5.51745289646471,FALSE,0.0255941202030066,FALSE
4,1934-12-27,1935-01-13,8,306,0.97352065731256,5.72358510195238,FALSE,0.00150625451169736,FALSE
5,1935-09-17,1935-09-27,5,253,0.963336867702866,5.53338948872752,FALSE,0.000530167224093811,FALSE
6,1937-03-06,1937-03-13,6,497,0.94688404298281,6.20859002609663,FALSE,0.00608735775728002,FALSE
7,1939-03-25,1939-04-15,17,404,0.973480358488712,6.00141487796115,FALSE,0.00460483333581917,FALSE
8,1939-04-30,1939-05-19,13,446,0.964971285824647,6.10031895202006,FALSE,0.000972138264952984,FALSE
9,1940-05-08,1940-05-20,9,389,0.962365960139368,5.96357934361845,FALSE,7.89211100409289e-06,FALSE
11,1941-02-04,1941-02-19,10,375,0.965550363289138,5.92692602597041,FALSE,0.000276369804756104,FALSE
12,1941-04-16,1941-05-12,18,369.5,0.965537669792497,5.91215074038826,FALSE,0.000233232015877583,FALSE
13,1942-11-07,1942-11-20,12,565,0.964675310084533,6.33682573114644,FALSE,0.00404786539404524,FALSE
14,1942-11-30,1942-12-20,16,462.5,0.974978739713429,6.13664655695248,FALSE,0.00983050846357136,FALSE
15,1943-01-10,1943-01-24,11,573,0.980789868509954,6.35088571671474,FALSE,0.0371951218981416,TRUE
16,1943-02-19,1943-03-05,11,617,0.956726334680995,6.42486902390539,FALSE,0.00016474860163198,FALSE
18,1944-02-07,1944-02-14,5,154,0.964748377674366,5.03695260241363,FALSE,0.00640736195782604,FALSE
19,1944-10-31,1944-11-13,8,260.5,0.967468938677086,5.56260286119342,FALSE,4.91811992557862e-07,FALSE
20,1945-03-17,1945-04-16,23,385,0.985400274376919,5.95324333428778,FALSE,0.0156404278085386,FALSE
23,1949-03-04,1949-03-17,9,595,0.966571891409323,6.38856140554563,FALSE,0.0078285358861124,FALSE
25,1949-11-10,1949-11-20,7,297,0.963560590000257,5.6937321388027,FALSE,0.00010392627236197,FALSE
28,1954-12-05,1954-12-13,7,281,0.969551357539403,5.63835466933375,FALSE,0.000204215902533958,FALSE
29,1955-01-10,1955-01-21,7,389,0.955960802074271,5.96357934361845,FALSE,0.00100562439083887,FALSE
30,1955-09-11,1955-09-15,5,378,0.953717108236115,5.93489419561959,FALSE,0.00202081201579703,FALSE
31,1955-10-12,1955-10-28,8,176,0.985305927842505,5.17048399503815,FALSE,0.00654268435641733,FALSE
32,1956-02-24,1956-03-07,9,339,0.962686719698675,5.82600010738045,FALSE,3.09706251687444e-05,FALSE
33,1956-04-20,1956-04-30,10,389.5,0.966703382081989,5.9648638653108,FALSE,0.000692443417682064,FALSE
34,1956-11-23,1956-12-11,8,121.5,0.990017665615792,4.7999142627806,FALSE,0.0120562279005409,FALSE
35,1957-03-15,1957-03-29,10,435.5,0.96565526629642,6.07649479629256,FALSE,0.00105622644351818,FALSE
36,1957-04-17,1957-04-23,7,506,0.935701896943616,6.22653666928747,FALSE,0.0241315623575285,FALSE
37,1958-02-19,1958-02-25,7,310,0.965178139447754,5.73657229747919,FALSE,1.01054299393616e-07,FALSE
39,1958-10-05,1958-10-20,10,142,0.987408624223045,4.95582705760126,FALSE,0.00845043413023935,FALSE
40,1959-03-13,1959-03-31,11,211,0.965326769468282,5.35185813347607,FALSE,0.000893942727736836,FALSE
41,1959-11-10,1959-11-22,8,156,0.975344211718251,5.04985600724954,FALSE,7.13896440170854e-06,FALSE
44,1961-05-27,1961-06-05,9,318,0.950938604275188,5.76205138278018,FALSE,0.00432390881478272,FALSE
45,1962-01-20,1962-02-16,21,367,0.974796189856215,5.90536184805457,FALSE,0.00388544038358639,FALSE
46,1962-07-16,1962-08-02,11,182,0.968545053680363,5.2040066870768,FALSE,0.000753040771436741,FALSE
47,1963-04-06,1963-04-24,17,430,0.969180281295541,6.06378520868761,FALSE,0.002687556181449,FALSE
48,1964-03-23,1964-04-13,13,482,0.973954623000298,6.1779441140506,FALSE,0.0101020022520406,FALSE
49,1964-10-28,1964-11-09,9,133,0.980201641772435,4.89034912822175,FALSE,0.00066426162797986,FALSE
50,1965-06-20,1965-07-04,10,134.5,0.979241185708759,4.90156419904189,FALSE,0.000342696974392511,FALSE
51,1966-03-22,1966-04-11,15,167,0.981446597759248,5.11799381241676,FALSE,0.00276958346523072,FALSE
52,1966-06-04,1966-06-16,9,177,0.941210046666651,5.17614973257383,FALSE,0.0455146196216671,TRUE
55,1967-04-03,1967-05-01,19,420,0.966552078200464,6.04025471127741,FALSE,0.00112604554251944,FALSE
56,1967-06-02,1967-06-18,12,234.5,0.95253792174108,5.45745558788633,FALSE,0.00728800284958079,FALSE
57,1967-09-06,1967-09-11,5,271,0.956521704630268,5.6021188208797,FALSE,0.00251061158914619,FALSE
59,1968-02-16,1968-02-27,9,370,0.961656380212808,5.91350300563827,FALSE,2.21374385037788e-05,FALSE
61,1968-04-28,1968-05-13,16,299,0.977331606635425,5.70044357339069,FALSE,0.00303314600678692,FALSE
62,1968-06-08,1968-06-16,7,289,0.946112316364764,5.66642668811243,FALSE,0.00886416147960383,FALSE
63,1968-12-03,1968-12-10,6,189,0.986309434134868,5.24174701505964,FALSE,0.00773973867365494,FALSE
65,1969-04-29,1969-05-07,9,198,0.950492641421644,5.28826703069454,FALSE,0.0158151026314919,FALSE
66,1969-10-12,1969-10-30,15,175,0.979126677672086,5.16478597392351,FALSE,0.00152738179379711,FALSE
67,1970-05-04,1970-05-14,9,453,0.943341336598612,6.11589212548303,FALSE,0.0102803592664829,FALSE
68,1970-08-31,1970-09-17,13,123,0.9789640252201,4.81218435537242,FALSE,2.75769001439003e-05,FALSE
70,1971-03-17,1971-04-01,13,535,0.969950631332691,6.28226674689601,FALSE,0.00869712023756248,FALSE
71,1971-11-11,1971-11-19,9,296,0.963655533652327,5.69035945432406,FALSE,9.9493557927702e-05,FALSE
74,1972-08-31,1972-09-21,14,184,0.987455408927309,5.21493575760899,FALSE,0.00907181802306352,FALSE
