"Day","MAE","RMSE","MAPE","Bias","r2"
1,11.0444587108401,23.5096806547576,4.04065462950949,0.241738197024844,0.975402109804233
2,23.1349952673816,68.864494337665,7.1820580589939,-8.15410566119309,0.793272593167255
3,19.7522506879375,40.8141251423073,7.67958557806148,-2.74327638637443,0.90558194472429
4,19.2222601463759,39.1041511871871,8.02921278349221,0.467686167056934,0.896202021079969
5,21.5564799835139,44.813963812603,8.75902998158748,-2.37860938575876,0.848340050103958
6,24.4767082741074,56.9213362740751,9.60818837764565,-5.81823711416654,0.749874242588287
7,23.4638110451491,52.440383061582,9.31680523708502,-12.1771153234359,0.793390342251624
8,27.4452246922157,75.5953391134862,9.98593443411995,-18.2154986690136,0.659972155525632
9,26.7296366856049,59.2126502547616,11.2620916817844,-18.4446898784002,0.741452081421062
10,25.3083162057198,48.9379214377972,11.5209513654163,-19.1678230794725,0.816639671734366
11,30.0626403757375,68.7072633835897,12.2965506151763,-23.8262003552788,0.711691438645492
12,27.6992007022618,52.5654636375797,12.905820845448,-21.7382186929525,0.789897741331038
13,25.3038137239405,42.5919871819045,12.9530580274366,-19.9697763387671,0.840329214603077
14,24.1020803159251,37.4869597233015,13.5172336448441,-19.2435660828358,0.852512956773231
15,23.3505195831738,34.591682719491,13.9240347399938,-19.3428111384771,0.854962047119855
